,نام,استان,شهر,آدرس,لینک
0,کاخ گلستان تهران,استان تهران,تهران,,"https://www.google.com/maps/place/%DA%A9%D8%A7%D8%AE+%DA%AF%D9%84%D8%B3%D8%AA%D8%A7%D9%86%E2%80%AD/@35.6797566,51.4227068,17z/data=!3m1!4b1!4m5!3m4!1s0x3f8e01f27917eb6b:0xe953925ee5058ce!8m2!3d35.6797523!4d51.4205181?hl=fa"
1,مجموعه کاخ سعد آباد,استان تهران,تهران,,https://goo.gl/maps/9HMASxMmWrbbrzND6
2,دربند,استان تهران,تهران,,"https://www.google.com/maps/place/%D8%AF%D8%B1%D8%A8%D9%86%D8%AF%D8%8C+%D8%AA%D9%87%D8%B1%D8%A7%D9%86%D8%8C+%D8%A7%D8%B3%D8%AA%D8%A7%D9%86+%D8%AA%D9%87%D8%B1%D8%A7%D9%86%D8%8C+%D8%A7%DB%8C%D8%B1%D8%A7%D9%86%E2%80%AD/@35.8239956,51.4296292,16z/data=!3m1!4b1!4m5!3m4!1s0x3f8e08b1e3bb99db:0xa2fb8a26871ef5c5!8m2!3d35.8233292!4d51.4250525?hl=fa"
3,موزه ایران باستان (موزه ملی ایران),استان تهران,تهران,,"https://www.google.com/maps/place/%D9%85%D9%88%D8%B2%D9%87+%D9%85%D9%84%DB%8C+%D8%A7%DB%8C%D8%B1%D8%A7%D9%86%E2%80%AD/@35.6869925,51.4168394,17z/data=!3m1!4b1!4m5!3m4!1s0x3f8e0196d786605b:0x46ef1b89035ae1c6!8m2!3d35.6869925!4d51.4146507?hl=fa"
4,باغ فردوس تهران,استان تهران,تهران,,"https://www.google.com/maps/place/Ferdows+Garden/@35.802596,51.4194146,17z/data=!4m16!1m9!3m8!1s0x3f8e060fbf0d4417:0x60df446d30ebe981!2sFerdows+Garden!8m2!3d35.802596!4d51.4219895!9m1!1b1!16s%2Fg%2F121dvghz!3m5!1s0x3f8e060fbf0d4417:0x60df446d30ebe981!8m2!3d35.802596!4d51.4219895!16s%2Fg%2F121dvghz?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoASAFQAw%3D%3D"
5,خانه موزه مقدم,استان تهران,تهران,,https://maps.app.goo.gl/ey69QJ1YzJvvNoqZ8
6,بام تهران,استان تهران,تهران,,
7,پل طبیعت تهران,استان تهران,تهران,,
8,مجموعه کاخ نیاوران,استان تهران,تهران,,https://goo.gl/maps/h2h4AQbtD367wekm8
9,بازار تهران,استان تهران,تهران,,https://maps.app.goo.gl/t4E1gWyUMDu98v6W6
10,سردر باغ ملی,استان تهران,تهران,,
11,ایران مال,استان تهران,تهران,,https://maps.app.goo.gl/QUc6XDe5z9Nw3ccK6
12,مگامال,استان تهران,تهران,,
13,باغ‌ نگارستان,استان تهران,تهران,,https://goo.gl/maps/rbwkugbbc2s7BoUm8
14,توچال,استان تهران,تهران,,
15,برج میلاد,استان تهران,تهران,,"https://www.google.com/maps/place/%D8%A8%D8%B1%D8%AC+%D9%85%DB%8C%D9%84%D8%A7%D8%AF%E2%80%8E%E2%80%AD/@35.7448459,51.3775099,17z/data=!3m1!4b1!4m5!3m4!1s0x3f8e0710d5918403:0x74f5290b67841378!8m2!3d35.7448416!4d51.3753212?shorturl=1"
16,پارک چیتگر,استان تهران,تهران,,https://goo.gl/maps/nwBqRGZ6KsRzoDQH7
17,عمارت مسعودیه تهران,استان تهران,تهران,,https://goo.gl/maps/rmXUR5yZv2Cf9fGz5
18,پارک ارم,استان تهران,تهران,,"https://www.google.com/maps/place/Eram+Amusement+Park/@35.7264196,51.2857035,15z/data=!4m6!3m5!1s0x3f8dfc5a5182ccf3:0x2cf6c76a75ece737!8m2!3d35.7204921!4d51.2921013!16s%2Fm%2F0ngt03h?entry=ttu"
19,بام لند چیتگر,استان تهران,تهران,,"https://www.google.com/maps/place/Bamland+Parking+lot/@35.7445482,51.2186878,17z/data=!4m14!1m7!3m6!1s0x3f8de5282a109771:0x2b00e6e13c5f69b6!2sBamland+Shopping+Mall!8m2!3d35.7445482!4d51.2212627!16s%2Fg%2F11ddwys20_!3m5!1s0x3f8de579eb46f81d:0x603b94c65c73a22e!8m2!3d35.7423331!4d51.2228935!16s%2Fg%2F11gxwsl4qb?entry=ttu"
20,پارک جمشیدیه تهران,استان تهران,تهران,,https://maps.app.goo.gl/nDCWGcvDYm2XQpvA8
21,فشم,استان تهران,لواسان,,"https://www.google.com/maps/place/Fasham,+Tehran+Province,+Iran/@35.9295567,51.5149483,15z/data=!3m1!4b1!4m6!3m5!1s0x3f8e11fc03b0e78d:0x188736c07ecf45bc!8m2!3d35.9322498!4d51.5286682!16s%2Fm%2F0hglv29?entry=ttu"
